"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MFSD1",8.89998831775145e-39,0.0256134339779493,0.228,0.2,2.83206528259169e-34
"AL358472.4",9.1876961866489e-39,-0.0159168224916534,0.009,0.016,2.92361680355355e-34
"DDIT4-AS1",9.28193326301173e-39,-0.0133287307807968,0.01,0.018,2.95360398362296e-34
"YPEL2",9.43175822499383e-39,-0.05159751096386,0.159,0.171,3.00127978477529e-34
"THG1L",9.474959005579e-39,-0.0413442116113472,0.177,0.185,3.01502670516529e-34
"POLR3G",9.73603741252786e-39,0.0307387966232208,0.068,0.049,3.09810446504049e-34
"SFN",1.00408570681643e-38,0.0147186036692776,0.015,0.006,3.19510112766055e-34
"ZNF681",1.04113035395793e-38,-0.0275705374889264,0.039,0.052,3.31298089932953e-34
"HS3ST5",1.0754625803397e-38,-0.00747713827644931,0.002,0.007,3.42222947689897e-34
"AC079305.3",1.09132598586305e-38,-0.0128969943078561,0.006,0.013,3.4727084196148e-34
"FLT3",1.09520659888605e-38,-0.00732384008567867,0.002,0.007,3.48505691831531e-34
"AC023494.1",1.11026947032789e-38,-0.0172155389767648,0.01,0.019,3.53298848153038e-34
"SLC5A11",1.11973927325107e-38,-0.0102977925891382,0.003,0.01,3.56312234141224e-34
"HLA-DQB1-AS1",1.15056556413883e-38,-0.0209396067766078,0.025,0.04,3.66121468164616e-34
"AC083870.1",1.21256096726737e-38,-0.0180865226181984,0.01,0.019,3.85849025394148e-34
"EFCAB13",1.2646059471932e-38,-0.0201247190744363,0.017,0.028,4.02410258456348e-34
"XYLB",1.27202397251688e-38,-0.0361533860485782,0.067,0.08,4.04770748294596e-34
"AC005062.1",1.27548421873792e-38,-0.0266192055621527,0.039,0.056,4.05871833244594e-34
"LINC01091",1.28183333615753e-38,-0.0078809775066254,0.002,0.007,4.07892185898686e-34
"ASPHD2",1.29839451986465e-38,0.00504344168574977,0.095,0.083,4.13162120166132e-34
"LIX1L",1.29920578306421e-38,-0.0402107418226055,0.275,0.276,4.13420272228862e-34
"ZNF19",1.31644445669519e-38,-0.0193989916292937,0.011,0.02,4.18905790564976e-34
"TAF5L",1.3164561972737e-38,-0.00339752073092375,0.171,0.158,4.18909526534464e-34
"TMCO6",1.31932350967624e-38,-0.0268032776676665,0.044,0.058,4.19821934014077e-34
"CHMP1B",1.34486555798334e-38,-0.0354478422692984,0.201,0.208,4.27949669205878e-34
"LINC02732",1.44123544666884e-38,-0.0154031029019198,0.008,0.016,4.58615531484491e-34
"AC135050.4",1.44474579890655e-38,-0.0114180884772239,0.003,0.009,4.59732560670054e-34
"NOL6",1.47536267351543e-38,-0.0441079093776958,0.106,0.117,4.69475156339346e-34
"C12orf42",1.48562812676455e-38,-0.0161184968752558,0.008,0.016,4.72741726217747e-34
"CCDC39",1.49743174167435e-38,-0.0149956926087176,0.01,0.019,4.76497754518196e-34
"AL590867.1",1.50176788777284e-38,-0.0158427269206827,0.014,0.024,4.77877559568194e-34
"C8orf34",1.53828675599188e-38,-0.00743550736191438,0.002,0.007,4.89498228624175e-34
"MSMP",1.54577548288955e-38,-0.019338929250765,0.012,0.022,4.91881216410283e-34
"ZNF891",1.61741414576489e-38,-0.0258129170613045,0.03,0.043,5.14677355323845e-34
"AL121935.1",1.62940391669149e-38,-0.0206471811517863,0.008,0.017,5.18492620330399e-34
"IGHV1-18",1.68591978270881e-38,-0.00410318798755073,0,0.003,5.36476534055772e-34
"PXDNL",1.68821325992039e-38,-0.0144045834102621,0.008,0.016,5.37206341439266e-34
"PAK1IP1",1.77535740175213e-38,0.0299813250440339,0.307,0.274,5.64936478811544e-34
"SLC31A1",1.80101008830339e-38,-0.0182263878819096,0.137,0.132,5.73099420199022e-34
"IGHV3-21",1.80333182250925e-38,-0.00418629696486484,0,0.003,5.73838219240668e-34
"AP003717.4",1.84967366098919e-38,-0.0195484880477017,0.007,0.015,5.8858465566337e-34
"IGHG3",1.85913453533073e-38,-0.0279616136787962,0.039,0.056,5.9159520048759e-34
"MIR100HG",1.89203186856354e-38,-0.00729356414924992,0.002,0.007,6.02063460895605e-34
"MMS22L",1.89791557291675e-38,-0.0351264925830369,0.176,0.173,6.0393571445784e-34
"USP18",1.90189575574605e-38,0.0505914388276064,0.094,0.071,6.05202248435951e-34
"CACNB4",1.96141955572836e-38,-0.0121520690608972,0.005,0.012,6.24143316828323e-34
"DNMBP-AS1",1.99497907440113e-38,-0.0111752640005627,0.004,0.01,6.34822291265183e-34
"B4GALT7",2.10916792685469e-38,-0.0373834126399442,0.099,0.111,6.7115832600443e-34
"AC003102.1",2.11839257643462e-38,-0.0145602575818619,0.008,0.016,6.74093701747262e-34
"ZNF417",2.11876957223302e-38,-0.0330793289738104,0.063,0.078,6.74213665580268e-34
"NCKAP5",2.1987988961484e-38,-0.00883519401527023,0.003,0.009,6.99679796743382e-34
"CLN8",2.26150705532971e-38,-0.0318614792295412,0.077,0.089,7.19634160076466e-34
"POU5F1",2.3489470943923e-38,-0.0133813230887501,0.005,0.011,7.47458454906572e-34
"AC032044.1",2.38873847311455e-38,-0.0132389114762784,0.005,0.013,7.60120469529782e-34
"LINC02006",2.52940638154769e-38,-0.00800042656780724,0.003,0.008,8.04882404672292e-34
"SETD6",2.57221956860223e-38,-0.0278037452471176,0.059,0.069,8.18505988924915e-34
"NNAT",2.64655330314212e-38,-0.0139717840396861,0.006,0.012,8.42159726592854e-34
"CNOT11",2.65806182027902e-38,-0.00138842701242442,0.262,0.243,8.45821851830988e-34
"ZC3HAV1L",2.72488580205189e-38,-0.0212001787528411,0.023,0.034,8.67085911070933e-34
"TRAV2",2.72991808226669e-38,-0.0409444339392087,0.021,0.031,8.68687232958083e-34
"ZNF689",2.74701531065245e-38,-0.0188751331124181,0.131,0.128,8.74127742002716e-34
"KCNIP2-AS1",2.74710825825262e-38,-0.0145645940206952,0.006,0.013,8.74157318858568e-34
"AL158212.5",2.77558234168698e-38,-0.0188199543664084,0.017,0.028,8.83218056948213e-34
"FAM49A",2.8201032520406e-38,-0.022201642092694,0.017,0.027,8.97385055831839e-34
"AQR",2.88240637611011e-38,-0.0247035716530083,0.262,0.253,9.17210532941999e-34
"FAM106A",2.90181816587859e-38,-0.0158718667385233,0.008,0.017,9.23387558564225e-34
"MCEMP1",2.91394600014464e-38,0.00478035308127114,0.003,0,9.27246756706025e-34
"ACSM3",2.96609692964377e-38,-0.0318462128754647,0.058,0.074,9.43841703981944e-34
"AL512306.3",3.01993119096e-38,-0.0170960118766832,0.006,0.014,9.60972304275382e-34
"FIZ1",3.1156604992765e-38,-0.0290632281481132,0.053,0.063,9.91434327474776e-34
"ZNF607",3.20452425342398e-38,-0.0198200700231188,0.014,0.023,1.01971166268204e-33
"RNF11",3.21006766526598e-38,-0.0165251563681065,0.196,0.189,1.02147563176429e-33
"PSMD10",3.21251110863674e-38,-0.00404439425131559,0.256,0.239,1.0222531598793e-33
"AC135457.1",3.34596559986256e-38,-0.0199594639384702,0.023,0.036,1.06471971353227e-33
"ADGRB3",3.46671524903511e-38,-0.00726075524788432,0.002,0.007,1.10314345939546e-33
"DNM3",3.528966786827e-38,-0.0233240086740789,0.018,0.029,1.12295252123622e-33
"AZI2",3.59139327834881e-38,-0.0126719663148341,0.227,0.216,1.14281725510337e-33
"THEM6",3.67433710728914e-38,-0.0340828172364285,0.091,0.103,1.16921081091048e-33
"AL117329.1",3.77859670794825e-38,-0.00882060068099383,0.003,0.008,1.20238725843621e-33
"KLHL7",3.78086276620148e-38,-0.0401074196416097,0.187,0.195,1.20310834083297e-33
"NLRP12",3.9615905566873e-38,-0.00750834753814716,0.002,0.007,1.26061773104346e-33
"AC022182.2",3.9765041985293e-38,-0.0327595415669688,0.027,0.039,1.26536340101401e-33
"AC087501.1",4.03091145706284e-38,-0.0133778657846436,0.006,0.013,1.28267633475197e-33
"TMED2-DT",4.03302549324379e-38,-0.0148264529389226,0.01,0.019,1.28334904220511e-33
"FAM186B",4.04608879030072e-38,-0.00922055163412586,0.003,0.008,1.28750591396159e-33
"AC125611.4",4.15895363972198e-38,-0.0225527131039372,0.023,0.034,1.32342063769593e-33
"AC116914.2",4.25239163466631e-38,-0.0109338881653594,0.004,0.011,1.35315354206717e-33
"AC008629.1",4.27900063391541e-38,-0.0139063349613893,0.006,0.013,1.36162079171822e-33
"AC073517.1",4.70545659922511e-38,-0.0135808804487381,0.006,0.013,1.49732334443942e-33
"MFN1",4.77617336586072e-38,-0.0444967806339424,0.127,0.139,1.51982612675054e-33
"KDM7A",4.84002561602612e-38,-0.0269784688772705,0.237,0.221,1.54014455127567e-33
"LINC02018",4.86564097865638e-38,-0.0140705514426719,0.006,0.013,1.54829561581825e-33
"TAF13",4.87901519412481e-38,-0.032548873154022,0.18,0.184,1.55255142492246e-33
"KIAA1841",5.1277594541935e-38,-0.0227726307964864,0.103,0.104,1.63170433591891e-33
"NUGGC",5.26090969692046e-38,-0.0125071054423504,0.075,0.069,1.67407407465706e-33
"USP40",5.29328754539566e-38,-0.0333207687461766,0.072,0.083,1.68437702982035e-33
"FHL1",5.59496468224586e-38,-0.0418673763388462,0.07,0.084,1.78037371153745e-33
"VAT1",5.61488444310928e-38,-0.0375901128804857,0.113,0.124,1.7867123786418e-33
"LINC02585",5.63776963708458e-38,-0.0149221360546158,0.006,0.014,1.79399467621669e-33
"AMZ1",5.68771527605302e-38,-0.0286325521028911,0.027,0.04,1.80988787799283e-33
"RBM41",5.93378091972456e-38,-0.015764780514946,0.103,0.101,1.88818842646555e-33
"ETF1",6.21434953086968e-38,-0.0322033857898052,0.454,0.432,1.97746816421804e-33
"OXSM",6.37146015074319e-38,-0.0292919788328019,0.077,0.089,2.02746233456799e-33
"PDZK1",6.37174645205451e-38,-0.0126482230641305,0.005,0.011,2.02755343850827e-33
"SCFD1",6.39091916024629e-38,-0.016088179542107,0.315,0.298,2.03365438598197e-33
"ANAPC13",6.48972620950789e-38,-0.0128844241340531,0.241,0.228,2.06509577712751e-33
